0, Program_c, 0
4034, Note_off_c, 54, 64
4036, Note_off_c, 63, 64
4040, Note_off_c, 60, 64
4049, Control_c, 64, 0
4049, Control_c, 64, 0
4061, Control_c, 64, 127
4061, Control_c, 64, 127
4166, Note_on_c, 71, 39
4176, Note_off_c, 69, 64
4202, Note_on_c, 69, 39
4225, Note_off_c, 71, 64
4226, Note_on_c, 52, 39
4232, Note_off_c, 53, 64
4234, Note_on_c, 68, 37
4255, Control_c, 64, 0
4255, Control_c, 64, 0
4264, Note_off_c, 69, 64
4278, Control_c, 64, 127
4278, Control_c, 64, 127
4368, Note_on_c, 64, 48
4369, Note_off_c, 68, 64
4431, Note_on_c, 67, 57
4437, Note_on_c, 61, 39
4437, Note_on_c, 58, 45
4447, Note_off_c, 59, 64
4447, Note_off_c, 62, 64
4452, Control_c, 64, 0
4452, Control_c, 64, 0
4456, Note_off_c, 64, 64
4476, Control_c, 64, 127
4476, Control_c, 64, 127
4642, Note_off_c, 61, 64
4644, Note_on_c, 61, 36
4644, Note_on_c, 51, 36
4648, Note_on_c, 57, 24
4657, Note_off_c, 58, 64
4658, Control_c, 64, 0
4658, Control_c, 64, 0
4663, Note_off_c, 52, 64
4674, Control_c, 64, 127
4674, Control_c, 64, 127
4784, Note_on_c, 69, 37
4802, Note_off_c, 67, 64
4822, Note_on_c, 67, 46
4840, Note_off_c, 69, 64
4852, Note_on_c, 50, 39
4857, Note_off_c, 51, 64
4860, Control_c, 64, 0
4860, Control_c, 64, 0
4866, Note_on_c, 66, 48
4884, Note_off_c, 67, 64
4899, Control_c, 64, 127
4899, Control_c, 64, 127
4981, Note_on_c, 62, 42
4990, Note_off_c, 66, 64
5015, Note_off_c, 61, 64
5099, Note_on_c, 66, 52
5109, Note_on_c, 56, 40
5112, Note_on_c, 59, 37
5112, Control_c, 64, 0
5112, Control_c, 64, 0
5126, Note_off_c, 62, 64
5127, Note_off_c, 57, 64
5140, Control_c, 64, 127
5140, Control_c, 64, 127
5349, Note_off_c, 56, 64
5352, Note_off_c, 59, 64
5355, Control_c, 64, 0
5355, Control_c, 64, 0
5363, Note_on_c, 49, 59
5363, Note_on_c, 37, 61
5389, Note_off_c, 50, 64
5396, Control_c, 64, 127
5396, Control_c, 64, 127
5532, Note_off_c, 66, 64
5542, Note_on_c, 68, 44
5574, Note_off_c, 37, 64
5574, Note_off_c, 49, 64
5579, Note_on_c, 66, 70
5599, Note_on_c, 49, 42
5603, Note_off_c, 68, 64
5605, Note_on_c, 56, 45
5611, Note_on_c, 65, 61
5611, Note_on_c, 59, 48
5627, Control_c, 64, 0
5627, Control_c, 64, 0
5631, Note_off_c, 66, 64
5650, Control_c, 64, 127
5650, Control_c, 64, 127
5681, Note_off_c, 49, 64
5687, Note_off_c, 59, 64
5696, Note_off_c, 56, 64
5717, Note_on_c, 66, 72
5719, Note_off_c, 65, 64
5813, Control_c, 64, 0
5813, Control_c, 64, 0
5822, Note_on_c, 68, 66
5822, Note_on_c, 49, 55
5825, Note_on_c, 59, 61
5832, Note_on_c, 53, 55
5837, Note_off_c, 66, 64
5856, Control_c, 64, 127
5856, Control_c, 64, 127
5867, Note_off_c, 53, 64
5867, Note_off_c, 59, 64
5880, Note_off_c, 49, 64
5979, Note_on_c, 62, 52
5988, Note_off_c, 68, 64
6016, Note_on_c, 42, 59
6018, Control_c, 64, 0
6018, Control_c, 64, 0
6028, Note_on_c, 61, 65
6056, Note_off_c, 62, 64
6068, Control_c, 64, 127
6068, Control_c, 64, 127
6180, Note_on_c, 66, 54
6198, Note_off_c, 61, 64
6220, Note_on_c, 54, 66
